customer_id,first_name,last_name,email,phone,home_club_id,membership_tier,member_since,lifetime_spend,total_visits,avg_basket_size,last_visit_date,spend_grocery,spend_fresh_produce,spend_meat_seafood,spend_bakery,spend_frozen_foods,spend_beverages,spend_household,spend_electronics,spend_health_beauty,spend_home_garden,spend_apparel,spend_gas_station
BJ-0100013,Mark,Lin,michael86@example.net,+1-350-814-2940,1002,Club,2021-03-04,9514.72,106,89.76,2025-08-22,1563.91,625.97,1299.65,461.93,562.77,1278.91,1122.89,847.75,627.87,373.55,363.78,637.64
BJ-0100014,Samuel,Joyce,cruzbarbara@example.com,7607883561,1014,Inner Circle,2018-03-15,30592.86,300,101.98,2026-01-14,6735.59,2196.08,5117.23,1430.12,2073.41,2377.36,3542.47,2899.79,1318.54,1515.79,729.44,1542.38
BJ-0100015,Rachel,Hunter,snguyen@example.com,+1-823-266-2994,1012,Club,2024-05-15,5749.6,49,117.34,2025-12-25,1598.15,380.36,816.86,217.47,335.77,515.49,951.89,499.77,255.22,182.33,231.85,274.16
BJ-0100016,Kristi,Lawson,steven73@example.net,221.248.9513x4332,1007,Business,2020-06-26,42252.02,353,119.69,2025-12-28,6330.0,3001.68,4097.66,2268.23,4140.66,3831.75,6239.43,3948.37,2555.73,2304.88,1264.05,1985.42
BJ-0100017,Melissa,Jones,kmercado@example.org,001-967-263-2016x328,1001,Inner Circle,2016-12-28,48782.65,344,141.81,2026-01-05,13513.45,4162.12,4288.56,3409.96,4766.8,6276.39,4970.32,3019.9,2586.85,2420.64,1677.8,2784.86
BJ-0100018,David,Anderson,jcontreras@example.net,979-586-8727x74348,1002,Inner Circle,2020-09-28,39200.71,223,175.79,2026-01-18,10405.06,2816.1,3919.69,1408.69,4275.66,4620.58,6444.22,4091.6,1839.15,1221.3,1234.05,1408.81
BJ-0100019,Justin,Nelson,patricia12@example.org,962.831.6658,1005,Club,2022-06-05,5671.38,90,63.02,2025-12-24,1394.02,543.74,579.54,318.87,477.44,421.14,608.91,635.03,218.26,239.22,220.25,258.18
BJ-0100020,Perry,Carrillo,gateskathy@example.com,805.946.6889x3734,1015,Club,2021-05-13,11766.76,155,75.91,2026-01-15,2970.48,1091.87,1873.49,784.86,1300.2,1463.23,1181.08,1126.66,442.78,434.23,275.72,803.06
BJ-0100021,Erin,Powell,marycalhoun@example.net,+1-906-499-0162,1011,Club,2021-03-13,8487.77,46,184.52,2026-01-01,1271.57,615.83,1206.59,307.27,572.07,724.07,1190.18,611.24,475.2,467.08,319.63,395.97
BJ-0100022,Jason,Murphy,aramirez@example.com,270-580-5310,1006,Club,2021-04-21,12803.15,187,68.47,2026-01-02,3491.41,767.23,1736.49,467.09,1181.63,1001.71,2093.29,1336.69,458.12,638.87,439.84,670.09
BJ-0100023,Elijah,Martinez,elliottjeffery@example.net,852-899-1241x904,1011,Club,2022-01-19,18705.63,126,148.46,2025-12-22,3404.9,1171.56,2720.58,1295.38,1169.77,1874.67,1669.11,1860.94,1275.81,785.11,553.69,1248.98
BJ-0100024,Brittany,Rivas,curtisbarton@example.net,+1-819-905-8651x850,1022,Business,2025-08-02,1533.18,16,95.82,2025-08-23,255.76,114.49,191.61,102.25,130.58,212.22,255.49,137.25,100.75,85.82,59.55,88.91
BJ-0100025,Cynthia,Poole,ryangross@example.net,998-577-6945x314,1013,Inner Circle,2015-04-28,63722.46,779,81.8,2026-01-19,17603.89,6645.12,5436.09,4415.52,4883.54,7562.54,9167.42,6821.77,4204.23,2286.9,2199.33,3108.36
BJ-0100026,Elizabeth,Rogers,lrosales@example.com,554.354.9480,1004,Club,2024-10-21,6240.44,34,183.54,2026-01-08,1249.11,691.13,554.2,347.1,553.41,452.69,641.92,665.92,337.35,250.98,185.5,412.4
BJ-0100027,Angela,Allen,fbrewer@example.com,9147363495,1003,Club,2022-04-05,8483.98,94,90.26,2026-01-03,1817.38,487.41,1055.62,363.81,671.5,1102.49,1261.12,590.06,589.41,452.11,272.35,454.36
BJ-0100028,Mark,Warner,kristopher31@example.net,651.382.3374,1004,Business,2021-06-16,55514.03,256,216.85,2026-01-13,12462.34,3388.4,6106.47,2772.13,4395.54,6910.38,5979.7,3674.92,3075.01,2510.37,1307.54,1947.79
BJ-0100029,Michael,Turner,joshuamccann@example.net,627-910-9477x7520,1017,Inner Circle,2024-01-17,13333.88,61,218.59,2025-12-30,2311.08,1372.06,2081.42,640.31,976.22,1655.4,2104.02,1212.65,899.49,516.36,322.54,550.52
BJ-0100030,Travis,Ray,hernandezlisa@example.com,831-986-9993,1010,Inner Circle,2015-06-04,83124.72,599,138.77,2025-08-03,22312.48,6074.11,8529.08,4941.5,8627.56,9497.79,8759.4,8665.89,4394.38,3214.71,2801.24,4947.7
BJ-0100031,Brianna,Patterson,lynchjody@example.org,+1-934-612-3281x2067,1011,Club,2025-08-05,1245.23,8,155.65,2025-12-30,189.38,85.78,184.75,72.41,81.34,125.35,119.45,129.41,48.34,57.68,42.02,64.19
BJ-0100032,Justin,Heath,mcdanielsandra@example.net,001-336-218-3242,1015,Club,2021-03-20,4635.96,127,36.5,2025-12-30,713.35,483.27,715.43,272.81,416.92,443.57,476.68,432.95,310.41,186.53,126.87,206.19
BJ-0100033,Kaitlyn,Carroll,scott74@example.net,(248)387-7190x6594,1019,Club,2021-11-18,8137.88,131,62.12,2025-12-31,2267.73,659.5,1310.31,501.82,606.56,856.22,946.3,517.8,386.44,430.42,299.52,363.89
BJ-0100034,Michelle,Matthews,keyemily@example.com,001-802-978-7429,1014,Club,2022-03-14,3836.93,109,35.2,2025-11-02,816.81,291.39,416.01,178.36,309.2,506.72,558.89,358.37,197.58,107.63,108.02,243.5
BJ-0100035,Ricky,Morris,hodgemark@example.net,246.980.7154x5168,1021,Inner Circle,2025-09-06,894.85,17,52.64,2026-01-05,134.7,80.11,88.6,35.88,50.32,121.57,137.5,53.99,50.09,30.89,23.75,58.7
BJ-0100036,Michael,Avila,nwolf@example.com,+1-424-677-1093,1008,Business,2021-05-12,26745.67,334,80.08,2025-12-27,4239.07,2770.0,4352.72,1195.36,1997.14,2108.67,3021.59,2505.96,1190.86,753.99,751.81,1360.31
BJ-0100037,Christopher,Gay,murraydavid@example.org,448.346.7737x8263,1005,Business,2022-06-18,38237.76,215,177.85,2026-01-07,5889.28,2230.16,4064.45,1577.72,3532.74,4943.67,4215.9,3378.55,2315.7,1497.3,856.25,1645.04
BJ-0100038,Robert,Villa,lori44@example.net,001-872-978-7558,1016,Inner Circle,2017-05-15,47986.45,351,136.71,2026-01-14,11982.46,3217.84,6281.89,1869.48,3658.5,5574.75,5361.56,4452.11,2090.64,2312.65,1370.08,3007.16
BJ-0100039,Tina,Allen,xhall@example.com,7573662702,1007,Club,2025-09-19,620.02,5,124.0,2026-01-17,103.57,61.41,80.82,30.68,56.72,80.45,76.38,64.75,23.74,28.7,17.36,30.09
BJ-0100040,Alicia,Bryant,robertpena@example.org,874-759-6158,1012,Club,2025-06-04,5432.79,12,452.73,2025-09-28,916.48,539.86,821.31,230.8,383.84,471.24,860.03,539.75,204.33,278.78,118.29,238.29
BJ-0100041,Tony,Weaver,younggabrielle@example.com,216.711.7240,1013,Inner Circle,2021-07-29,39327.75,273,144.06,2026-01-17,10359.32,4192.08,5481.56,2384.81,2288.9,4417.37,5579.64,2247.23,2538.02,2123.38,1022.39,2540.69
BJ-0100042,Nicholas,Thomas,yknight@example.org,(421)596-9379,1017,Club,2025-01-12,6847.06,24,285.29,2025-12-30,1390.96,428.28,794.59,295.6,421.98,532.15,1023.81,721.39,461.83,355.43,263.16,256.14
BJ-0100043,Jonathan,Smith,rsantana@example.net,(617)559-4647,1008,Business,2021-09-29,52306.39,313,167.11,2025-08-31,14286.88,3236.49,4572.15,3613.08,3164.05,5075.48,7249.54,5506.98,2296.78,1507.14,1671.03,2693.2
BJ-0100044,Daniel,James,bailey40@example.net,(640)490-9743x9533,1003,Club,2026-01-18,19.73,1,19.73,2026-01-16,4.45,1.29,3.31,1.06,2.03,1.59,2.76,2.11,1.06,0.71,0.47,0.89
BJ-0100045,Debbie,Parker,xjohnson@example.net,(714)656-2328,1007,Club,2024-03-12,2998.95,74,40.53,2026-01-18,716.91,317.29,324.7,160.45,229.41,210.22,397.88,304.95,108.79,84.26,108.81,176.74
BJ-0100046,Makayla,Olson,julie51@example.com,623-368-5160,1004,Inner Circle,2024-01-08,7321.78,80,91.52,2025-12-29,1387.09,815.4,1054.56,350.41,471.19,815.95,796.4,781.3,369.38,265.01,244.25,291.36
BJ-0100047,Emily,Richards,daniel37@example.org,+1-285-693-1746x120,1010,Club,2023-04-30,5705.27,86,66.34,2026-01-11,1165.94,461.36,699.59,395.35,363.99,675.11,671.9,482.99,351.92,184.89,211.3,213.73
BJ-0100048,Jimmy,Medina,qchavez@example.net,001-786-592-6179x640,1003,Club,2026-01-12,56.06,1,56.06,2025-12-25,13.22,6.02,6.63,2.42,5.86,4.56,7.68,6.04,3.29,1.88,1.36,2.46
BJ-0100049,Melissa,Garcia,amy50@example.com,531-371-3900x532,1021,Club,2023-04-09,6644.14,73,91.02,2026-01-19,1204.11,585.54,737.51,292.3,597.95,845.53,610.34,474.68,280.25,334.56,269.76,251.13
BJ-0100050,Brenda,Li,markhernandez@example.net,4422284210,1002,Club,2025-03-15,1876.66,26,72.18,2026-01-07,461.8,135.45,199.29,85.58,163.49,246.44,288.63,111.18,123.42,57.54,55.78,115.96
BJ-0100051,Brianna,Smith,brian68@example.org,001-617-975-8917x8390,1017,Club,2022-11-05,5604.54,93,60.26,2026-01-14,1145.35,319.96,551.82,341.57,550.24,773.77,560.32,352.44,223.38,185.93,179.89,387.46
BJ-0100052,Yolanda,Boone,fparks@example.net,711.859.2124x998,1017,Club,2024-04-08,13369.47,58,230.51,2025-12-22,3052.25,1195.07,1195.87,592.84,1041.38,1165.04,1396.11,1177.65,688.26,624.14,549.28,777.03
BJ-0100053,Shawn,Jacobs,mcguiredanny@example.net,+1-883-767-3657x6615,1006,Club,2026-01-10,92.06,1,92.06,2026-01-06,25.61,8.39,14.69,3.4,8.07,12.37,9.95,5.95,4.35,4.62,2.1,5.16
BJ-0100054,Elijah,Leblanc,davischristopher@example.com,352-880-9885,1001,Club,2024-05-18,2462.18,56,43.97,2026-01-02,447.26,212.58,404.01,113.04,180.55,255.56,313.4,138.07,139.25,137.7,66.8,140.54
BJ-0100055,Karen,Parrish,schmittcaroline@example.com,798-332-7315,1016,Club,2022-10-27,2038.02,81,25.16,2026-01-10,552.78,115.59,295.47,98.52,173.77,184.25,226.19,115.86,123.39,97.63,70.8,133.96
BJ-0100056,Lindsay,Bruce,lynchdiane@example.net,302-444-5502x296,1018,Club,2024-11-12,3701.03,20,185.05,2026-01-08,799.41,395.17,367.28,175.22,275.87,351.29,323.91,265.09,167.73,193.36,105.09,187.47
BJ-0100057,Christopher,Moreno,vbarnes@example.org,(645)999-1022x901,1010,Club,2024-10-04,2909.52,33,88.17,2026-01-20,540.3,171.13,343.22,202.04,192.64,311.14,246.48,182.82,161.63,105.7,116.44,143.19
BJ-0100058,Scott,Nelson,reeddaniel@example.net,+1-497-684-0369x00343,1009,Club,2024-05-12,1701.12,47,36.19,2026-01-05,453.16,120.46,167.27,94.62,111.94,200.02,212.93,105.74,113.87,79.7,55.23,81.83
BJ-0100059,Tyler,Jordan,omarpadilla@example.net,+1-751-860-6071,1009,Club,2022-07-02,5678.76,96,59.15,2025-08-11,1422.57,349.66,574.81,199.08,436.62,513.26,890.59,555.19,215.55,276.82,199.8,254.75
BJ-0100060,Robert,Wilson,burchgeorge@example.net,651.761.3696x816,1017,Inner Circle,2020-12-07,22789.91,253,90.08,2025-11-07,3563.01,1322.33,3079.31,1070.24,1696.66,2691.59,3541.75,1687.41,1056.89,978.78,791.19,959.49
BJ-0100061,Charles,Schultz,rebeccabailey@example.net,+1-923-912-4329x2127,1020,Inner Circle,2016-09-17,51469.15,497,103.56,2026-01-14,12696.04,5640.26,7205.02,2542.37,4852.23,4427.21,8638.02,4124.78,3479.78,2061.97,2084.03,2406.13
BJ-0100062,Dawn,Downs,michelle52@example.com,377-644-9058,1019,Inner Circle,2022-03-24,32880.67,188,174.9,2026-01-17,7713.79,2251.91,3543.04,1642.87,2071.72,4403.91,4804.06,2513.33,1495.69,1555.53,983.42,1414.75
BJ-0100063,Miguel,Mitchell,gilbertwilliam@example.com,001-480-279-3597,1023,Inner Circle,2019-08-06,33976.13,288,117.97,2025-07-30,6539.61,2263.25,2896.75,1273.03,2229.62,2438.76,3812.51,1988.08,2012.32,1730.38,1346.7,1842.17
BJ-0100064,Mary,Haas,wagnergerald@example.org,001-777-288-9255x466,1012,Club,2023-04-22,4986.61,88,56.67,2026-01-15,824.42,407.11,631.47,192.83,288.71,610.9,642.85,372.03,250.84,273.34,145.03,192.59
BJ-0100065,Cameron,Davis,umitchell@example.net,+1-625-819-2546x291,1007,Club,2024-12-31,1831.89,27,67.85,2026-01-10,427.51,199.5,294.52,106.71,154.58,234.13,282.51,187.69,74.24,52.6,76.29,125.65
BJ-0100066,David,Warner,lucasrodney@example.com,4544235733,1007,Club,2024-04-09,4429.6,38,116.57,2025-12-31,1236.45,369.72,683.12,281.18,265.77,337.05,617.59,312.33,256.98,141.97,129.96,170.92
BJ-0100067,Craig,Wise,stanleynancy@example.net,(296)822-2927,1019,Business,2018-09-03,61526.0,302,203.73,2026-01-16,12532.5,6129.11,5962.53,2357.62,6466.78,4440.85,10193.35,5761.26,3057.01,1966.28,2226.49,3366.02
BJ-0100068,Tara,Bishop,pyoung@example.com,435.697.7468x8623,1006,Inner Circle,2018-06-05,58567.71,418,140.11,2026-01-12,10911.53,5666.25,7989.79,2539.83,5256.73,6753.82,7490.57,4989.72,2807.81,1842.25,1704.04,2757.76
BJ-0100069,Nathan,Villa,mitchellkathryn@example.com,782.561.3750x606,1017,Inner Circle,2014-09-06,72540.67,736,98.56,2026-01-05,10871.11,7725.31,7090.5,3394.97,6520.91,9676.77,7651.51,7164.13,4342.67,2355.53,2253.75,3761.43
BJ-0100070,Jeffrey,Flores,combsdebra@example.org,(304)272-7790,1024,Inner Circle,2018-09-09,22252.12,307,72.48,2025-12-24,5899.93,2364.88,2069.41,1057.21,2287.12,1757.87,2369.05,2094.72,1543.55,1119.72,830.53,1045.7
BJ-0100071,Ana,Acosta,srodriguez@example.org,510-436-9711x7980,1013,Business,2020-02-07,45424.45,349,130.16,2025-11-26,12566.11,3457.39,5111.41,1820.49,4726.79,5948.73,3891.93,2685.52,3049.89,1428.16,1546.22,2575.01
BJ-0100072,Michael,Duncan,elizabethmiller@example.com,288-888-8067,1004,Inner Circle,2017-07-20,52965.6,513,103.25,2025-12-22,14647.34,5061.19,4502.93,3159.45,4164.77,7294.87,5683.24,5072.84,3016.93,1500.91,2096.88,2112.61
BJ-0100073,Allen,Kramer,john19@example.net,001-252-605-8527x72217,1024,Inner Circle,2025-10-28,1579.77,12,131.65,2025-12-29,397.48,171.56,212.85,69.62,162.48,128.63,135.66,168.81,87.11,47.31,52.41,63.31
BJ-0100074,Nina,Stewart,zachary87@example.com,8348505415,1015,Club,2022-01-23,14498.11,74,195.92,2026-01-14,3851.71,1183.63,1980.66,995.46,1178.38,1583.93,1929.57,1007.33,881.37,700.92,369.48,514.2
BJ-0100075,Paul,Beltran,xholt@example.net,716-616-9284x511,1001,Club,2024-10-08,2238.56,39,57.4,2026-01-17,410.43,132.69,279.48,99.99,175.22,199.63,221.0,173.87,153.95,79.37,62.8,104.15
BJ-0100076,Ronald,Norris,sergio59@example.com,401-365-8202x970,1002,Business,2020-07-04,37981.53,439,86.52,2026-01-09,5525.87,2463.78,3799.03,2005.34,3083.97,4562.01,3353.01,3185.57,1771.33,1734.23,832.47,1375.79
BJ-0100077,Michael,Herring,jacobserika@example.com,(271)492-8565x431,1003,Inner Circle,2016-11-20,38697.89,346,111.84,2026-01-10,8596.36,2636.17,4494.03,2145.33,2998.02,3096.68,4848.83,2869.2,2524.91,1923.96,967.28,1561.16
BJ-0100078,Anna,Green,jane39@example.com,001-373-612-1727x155,1019,Club,2023-07-20,2915.9,61,47.8,2026-01-02,694.78,278.96,372.01,187.81,204.84,389.31,400.9,234.93,202.3,152.02,108.51,130.01
BJ-0100079,Jennifer,Ho,laurahicks@example.org,923.470.5895,1011,Inner Circle,2024-09-30,7373.65,65,113.44,2026-01-16,1280.83,462.07,873.02,378.33,483.32,537.59,875.85,726.55,483.69,226.6,236.09,326.06
BJ-0100080,Kyle,Key,xfox@example.com,001-412-451-7785,1004,Business,2022-12-13,22649.66,175,129.43,2025-12-24,4979.64,1843.17,2383.77,1435.18,1304.49,2679.84,3033.22,1451.38,924.26,1052.27,624.11,1003.4
BJ-0100081,Wesley,Oneill,holmeskevin@example.org,335-484-1438x42498,1004,Inner Circle,2023-04-08,15979.53,122,130.98,2025-08-13,4023.14,1590.48,1964.24,1042.79,1723.7,1485.84,1643.88,1310.3,659.58,842.95,448.99,881.53
BJ-0100082,George,Weber,megan90@example.org,909-643-9690,1003,Club,2024-01-05,19843.94,31,640.13,2026-01-08,3181.44,2148.25,2479.93,1131.32,1824.9,2090.5,1903.63,1946.65,1098.61,621.57,708.56,1182.63
BJ-0100083,John,Aguirre,eevans@example.net,4277677359,1009,Business,2023-03-11,19602.42,116,168.99,2025-12-31,3476.09,1975.77,1662.84,693.06,1768.25,2455.09,2925.2,1953.51,933.77,1033.37,416.93,900.27
BJ-0100084,Vanessa,Reed,xanderson@example.net,+1-415-337-1473,1010,Club,2025-05-12,1472.07,16,92.0,2025-12-31,353.4,105.58,163.62,66.34,93.06,180.61,129.38,94.85,56.95,75.24,32.27,85.77
BJ-0100085,Michelle,Barnes,lisapeck@example.net,532-578-7747x01687,1017,Club,2021-04-22,15846.07,58,273.21,2025-12-12,3326.7,1739.63,1788.34,1092.86,1404.87,1621.26,2206.59,1611.34,773.25,458.31,568.64,1084.91
BJ-0100086,Juan,Harper,amitchell@example.org,(624)356-5060x98358,1001,Club,2023-12-21,5564.84,38,146.44,2025-12-23,999.37,407.3,569.95,349.1,415.16,524.12,679.2,592.81,328.8,165.44,121.45,305.08
BJ-0100087,Andrea,Bryan,andersoncolin@example.com,985-923-9868x00025,1012,Club,2022-12-26,9294.59,61,152.37,2026-01-04,1530.21,667.17,942.23,641.33,530.18,1057.95,1184.86,688.75,614.05,434.66,390.05,380.18
BJ-0100088,Donald,Velazquez,francisco94@example.net,688-287-9470x55169,1020,Club,2021-10-18,4980.19,78,63.85,2025-12-05,881.58,322.4,782.06,193.39,494.76,551.15,778.58,479.08,223.4,219.55,105.95,257.14
BJ-0100089,Diana,Stanton,jennifersilva@example.org,896.523.0913x07562,1010,Business,2022-10-30,14031.72,152,92.31,2025-12-29,3217.07,1026.97,1687.65,919.89,1555.85,1224.33,2296.34,1326.96,958.36,613.84,577.77,929.4
BJ-0100090,Samantha,Salas,thorntonapril@example.net,578-565-2785x85497,1017,Club,2023-02-08,5376.11,81,66.37,2025-11-17,1035.1,343.1,546.69,327.72,345.48,460.23,643.32,322.77,228.18,173.08,220.3,224.2
BJ-0100091,Shelly,Hendrix,janet75@example.com,(284)641-9866x524,1012,Business,2020-04-14,79717.93,283,281.69,2025-12-30,19113.1,6321.67,12817.18,5089.65,5208.45,8796.65,12701.74,8004.61,5475.77,2748.39,2289.23,4205.26
BJ-0100092,Sandra,Douglas,ilewis@example.com,+1-542-519-9330,1005,Inner Circle,2025-07-08,1655.85,27,61.33,2025-12-24,315.63,113.15,209.66,61.91,178.35,150.04,262.39,138.87,107.23,57.82,40.87,107.18
BJ-0100093,Jennifer,Garcia,adampierce@example.org,(877)434-5401x93802,1020,Business,2018-06-23,38852.29,543,71.55,2026-01-03,7438.41,4310.96,6075.27,1421.15,3423.4,3212.58,6507.64,2477.99,2120.45,1811.51,1580.45,2511.96
BJ-0100094,Mary,French,sharonhayden@example.com,9044991547,1014,Club,2025-09-21,351.78,4,87.94,2025-12-23,85.16,24.29,42.2,23.27,20.07,34.83,37.43,23.61,22.64,16.71,8.22,18.4
BJ-0100095,James,Rodriguez,jessicawong@example.net,(805)749-3296,1016,Inner Circle,2024-04-07,7815.89,88,88.82,2026-01-05,1198.36,500.49,1236.37,303.4,479.59,1061.6,1080.59,481.86,539.38,251.04,289.92,283.09
BJ-0100096,Jack,Taylor,shari04@example.com,774.554.9904,1012,Club,2021-06-27,37707.24,126,299.26,2026-01-11,7971.86,3146.92,5136.26,2282.13,2863.7,3971.51,5020.67,4198.67,2095.39,1292.5,1257.45,2401.29
BJ-0100097,Kurt,Sullivan,hannah45@example.net,932.572.7956,1009,Club,2021-05-13,12688.81,120,105.74,2025-12-25,2436.52,1301.17,1886.66,875.43,1418.29,1102.05,2025.61,777.73,759.34,433.49,346.49,864.38
BJ-0100098,Caitlin,Cobb,xrice@example.org,001-410-788-3982,1006,Club,2024-11-11,1454.05,27,53.85,2026-01-11,264.67,139.14,134.7,73.64,158.11,142.19,175.17,141.54,90.54,72.05,61.0,54.53
BJ-0100099,Erin,Love,gdavis@example.com,9726867908,1017,Inner Circle,2024-04-22,15411.16,54,285.39,2025-09-28,3483.45,947.63,2453.56,851.14,1429.38,1384.63,2422.9,1333.55,766.54,662.06,551.25,914.29
BJ-0100100,Lisa,Reese,williamsmelvin@example.org,+1-801-770-4622,1015,Club,2024-09-01,1451.37,37,39.23,2026-01-02,309.59,151.99,122.97,86.89,105.21,122.77,123.4,154.15,97.14,43.13,46.38,58.55
BJ-0100101,Molly,Knox,qmiller@example.net,(251)228-6823,1018,Club,2026-01-06,145.0,1,145.0,2025-09-19,33.05,14.7,19.38,7.23,12.86,16.44,19.98,15.97,5.98,6.59,3.62,6.14
BJ-0100102,Jennifer,Coleman,pmorrow@example.com,(324)231-0690x331,1006,Club,2025-12-11,267.23,2,133.61,2026-01-04,60.45,23.89,32.37,13.81,24.29,29.62,30.85,28.2,15.6,9.02,7.41,16.72
BJ-0100103,Monica,Sanchez,moralesjimmy@example.org,001-502-884-3959x95342,1005,Business,2021-08-17,33594.76,305,110.15,2026-01-11,9070.01,2228.93,5197.18,1805.35,3213.01,2863.12,4831.15,3601.32,1490.33,1160.16,779.15,1489.53
BJ-0100104,Stacy,Hobbs,conniesimmons@example.com,8564856624,1009,Inner Circle,2017-08-29,43779.28,300,145.93,2025-12-23,7158.56,4019.65,4102.8,2652.34,2887.33,6123.46,6706.48,3294.61,2185.34,1543.54,1624.62,2115.65
BJ-0100105,Melissa,Turner,lindamelendez@example.net,(568)282-6343x51751,1001,Business,2024-02-02,11010.33,108,101.95,2026-01-05,1874.79,914.87,1342.73,664.7,864.14,796.11,1178.04,904.02,760.89,579.94,273.16,664.08
BJ-0100106,Carrie,Russo,lindamatthews@example.net,+1-337-935-4033,1025,Inner Circle,2017-04-11,97274.98,352,276.35,2025-11-02,16813.94,7820.33,16141.03,6013.03,7167.8,11026.69,8577.14,6898.56,5850.47,4276.46,3002.21,5756.8
BJ-0100107,Jane,Sanders,andrearowe@example.com,585.744.5877x175,1018,Club,2025-08-16,823.48,12,68.62,2026-01-11,188.65,80.3,89.53,42.56,91.85,90.87,93.46,75.05,34.01,27.65,33.29,35.72
BJ-0100108,Michelle,Figueroa,greensarah@example.net,001-664-923-5369x3785,1001,Club,2022-08-14,3261.63,62,52.61,2025-12-23,673.78,308.97,327.74,226.2,300.52,311.8,438.42,222.19,186.51,93.9,91.86,199.49
BJ-0100109,Tracy,Jackson,gary87@example.org,+1-508-301-0062,1007,Inner Circle,2025-08-26,2918.11,23,126.87,2026-01-10,511.63,312.29,374.67,191.04,210.93,369.13,272.98,288.73,141.65,120.11,71.5,104.04
BJ-0100110,William,Brooks,bhopkins@example.org,+1-286-800-8484,1004,Club,2024-08-03,9494.59,52,182.59,2025-12-22,1776.92,870.82,1458.03,627.68,534.78,1205.27,1077.0,913.66,455.73,427.02,328.35,466.89
BJ-0100111,Daniel,Davis,johnharvey@example.com,(246)315-6793x341,1001,Club,2025-01-31,2842.52,17,167.21,2026-01-18,710.45,208.59,351.26,122.78,316.64,250.81,338.16,267.6,186.64,83.69,77.66,156.1
